Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,19
design__inferred_latch__count,0
design__instance__count,107602
design__instance__area,4.07376E+6
design__instance_unmapped__count,0
synthesis__check_error__count,206
design__max_slew_violation__count__corner:nom_tt_025C_1v80,127
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1007
design__max_cap_violation__count__corner:nom_tt_025C_1v80,7
power__internal__total,0.004206691402941942
power__switching__total,0.003908437676727772
power__leakage__total,1.581120301352712E-7
power__total,0.008115287870168686
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.4499221123015045
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.6099751987271514
timing__hold__ws__corner:nom_tt_025C_1v80,0.41123194902210997
timing__setup__ws__corner:nom_tt_025C_1v80,23.458586848142247
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.908819
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,276
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1007
design__max_cap_violation__count__corner:nom_ss_100C_1v60,24
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-2.7136778037212235
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.8737308901468703
timing__hold__ws__corner:nom_ss_100C_1v60,0.9288472476293684
timing__setup__ws__corner:nom_ss_100C_1v60,22.9443386340193
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,2.076902
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,24.364799
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,41
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1007
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.3312668011442845
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.49131988756993156
timing__hold__ws__corner:nom_ff_n40C_1v95,0.22517544022287062
timing__setup__ws__corner:nom_ff_n40C_1v95,23.375137154180784
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.513777
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,336
design__max_fanout_violation__count,1007
design__max_cap_violation__count,31
clock__skew__worst_hold,-2.3157694195498513
clock__skew__worst_setup,0.4758087392096033
timing__hold__ws,0.1619016078139275
timing__setup__ws,22.80482356390705
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.509503
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,23.323086
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2920.0 3520.0
design__core__bbox,5.52 10.88 2914.1 3508.8
design__io,637
design__die__area,1.02784E+7
design__core__area,1.0174E+7
design__instance__count__stdcell,107601
design__instance__area__stdcell,234396
design__instance__count__macros,1
design__instance__area__macros,3.83937E+6
design__instance__utilization,0.40041
design__instance__utilization__stdcell,0.0370024
design__instance__count__class:macro,1
design__instance__count__class:buffer,1
design__instance__count__class:inverter,1179
design__instance__count__class:sequential_cell,1130
design__instance__count__class:multi_input_combinational_cell,3450
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,620428
design__instance__count__class:tap_cell,88680
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vdda2,0
design__power_grid_violation__count__net:vccd2,0
design__power_grid_violation__count__net:vdda1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,621418
design__violations,0
design__instance__count__class:timing_repair_buffer,3676
design__instance__count__class:clock_buffer,187
design__instance__count__class:clock_inverter,94
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2297
antenna__violating__nets,3
antenna__violating__pins,3
route__antenna_violation__count,3
design__instance__count__class:antenna_cell,9204
antenna_diodes_count,68
route__net,10031
route__net__special,5
route__drc_errors__iter:1,9619
route__wirelength__iter:1,747889
route__drc_errors__iter:2,6335
route__wirelength__iter:2,743600
route__drc_errors__iter:3,6388
route__wirelength__iter:3,742397
route__drc_errors__iter:4,1943
route__wirelength__iter:4,742414
route__drc_errors__iter:5,668
route__wirelength__iter:5,742294
route__drc_errors__iter:6,427
route__wirelength__iter:6,742366
route__drc_errors__iter:7,303
route__wirelength__iter:7,742289
route__drc_errors__iter:8,234
route__wirelength__iter:8,742180
route__drc_errors__iter:9,126
route__wirelength__iter:9,742161
route__drc_errors__iter:10,104
route__wirelength__iter:10,742169
route__drc_errors__iter:11,63
route__wirelength__iter:11,742194
route__drc_errors__iter:12,18
route__wirelength__iter:12,742159
route__drc_errors__iter:13,16
route__wirelength__iter:13,742138
route__drc_errors__iter:14,8
route__wirelength__iter:14,742145
route__drc_errors__iter:15,7
route__wirelength__iter:15,742157
route__drc_errors__iter:16,2
route__wirelength__iter:16,742145
route__drc_errors__iter:17,2
route__wirelength__iter:17,742145
route__drc_errors__iter:18,2
route__wirelength__iter:18,742145
route__drc_errors__iter:19,2
route__wirelength__iter:19,742145
route__drc_errors__iter:20,2
route__wirelength__iter:20,742145
route__drc_errors__iter:21,2
route__wirelength__iter:21,742145
route__drc_errors__iter:22,2
route__wirelength__iter:22,742145
route__drc_errors__iter:23,2
route__wirelength__iter:23,742145
route__drc_errors__iter:24,2
route__wirelength__iter:24,742145
